"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.08901149353735e-276,1.91710681334501,0.597,0.208,3.26703448061204e-273,"0","Gm26917"
2.4269155430694e-268,5.77686470860747,0.746,0.325,7.28074662920821e-265,"0","Zfhx3"
9.23874361975396e-245,5.71984396727385,0.697,0.311,2.77162308592619e-241,"0","Nav2"
2.77312641448528e-232,0.758152880380202,0.713,0.31,8.31937924345585e-229,"0","Lrmda"
1.20681571531745e-226,7.88407743850058,0.698,0.308,3.62044714595236e-223,"0","Maml3"
1.32013948628053e-220,8.09106569422806,0.689,0.315,3.96041845884159e-217,"0","Ldlrad4"
6.26535054618617e-212,0.803444171440594,0.651,0.277,1.87960516385585e-208,"0","Ski"
2.63446683255594e-210,4.88984940262028,0.693,0.328,7.90340049766782e-207,"0","Snx29"
3.53433764637786e-209,6.15776851507554,0.737,0.357,1.06030129391336e-205,"0","Elmo1"
1.25374324807489e-208,4.9923248342804,0.684,0.31,3.76122974422468e-205,"0","Tmcc3"
1.34103089521347e-192,10.4672840878339,0.644,0.29,4.02309268564041e-189,"0","Ubash3b"
2.11523450512984e-188,10.6891723072182,0.647,0.31,6.34570351538952e-185,"0","Plcl1"
5.26286476562108e-183,4.213342137469,0.656,0.298,1.57885942968632e-179,"0","Dock2"
1.62804592927994e-165,8.64714845030561,0.685,0.364,4.88413778783982e-162,"0","Inpp5d"
2.2944224048922e-165,7.85277755664729,0.676,0.347,6.8832672146766e-162,"0","Pag1"
1.2035325929208e-164,8.07878013977549,0.597,0.286,3.61059777876239e-161,"0","Cmip"
1.41439918360479e-163,9.0215799668897,0.663,0.359,4.24319755081437e-160,"0","Atp8a2"
5.33254136075709e-160,6.82429881688278,0.684,0.366,1.59976240822713e-156,"0","Dock4"
1.54914675626652e-159,4.87687585381279,0.604,0.285,4.64744026879955e-156,"0","Tbc1d22a"
4.03858387249022e-158,3.06344814434628,0.698,0.388,1.21157516174707e-154,"0","Plxdc2"
2.63189958885356e-157,2.9008905863088,0.614,0.303,7.89569876656068e-154,"0","Arhgap22"
3.6757110383992e-157,9.2760950991623,0.629,0.317,1.10271331151976e-153,"0","Chn2"
7.12533829675862e-155,7.1173844385543,0.639,0.33,2.13760148902759e-151,"0","Ccnd3"
1.14323456307864e-142,11.7439316950933,0.651,0.349,3.42970368923591e-139,"0","Ankrd44"
5.26017233928603e-141,6.79841245984266,0.607,0.312,1.57805170178581e-137,"0","Ppm1h"
3.43497792478689e-138,10.5588307860394,0.589,0.313,1.03049337743607e-134,"0","Col27a1"
5.72125475142311e-138,7.36318474141293,0.642,0.34,1.71637642542693e-134,"0","Slc9a9"
3.3097059921504e-135,7.20778083666038,0.572,0.292,9.9291179764512e-132,"0","Sipa1l2"
7.89206547270492e-131,7.53201687282472,0.607,0.314,2.36761964181148e-127,"0","Plxna4"
4.54819530684208e-128,6.427829392975,0.535,0.282,1.36445859205262e-124,"0","Rtn4rl1"
5.52666288141032e-123,3.08314202782465,0.5,0.28,1.6579988644231e-119,"0","Sh3pxd2a"
4.92633858351613e-122,2.60712179213748,0.371,0.196,1.47790157505484e-118,"0","Spsb1"
1.54216410308906e-121,2.77741511105901,0.541,0.283,4.62649230926717e-118,"0","Cables1"
2.5492840450214e-118,8.80027521148701,0.566,0.291,7.6478521350642e-115,"0","Lncpint"
3.36458606902844e-118,3.3438199436479,0.475,0.257,1.00937582070853e-114,"0","Smad3"
1.31002024604043e-117,4.36304545032018,0.577,0.301,3.93006073812129e-114,"0","Arid1b"
2.2351118398654e-116,9.54456483649055,0.499,0.253,6.7053355195962e-113,"0","Tns1"
2.29329788375988e-112,0.781858492821415,0.319,0.148,6.87989365127963e-109,"0","Rnf17"
2.39690936602946e-112,6.43435623446165,0.453,0.23,7.19072809808839e-109,"0","Vav2"
1.22133047084681e-110,1.55031862899003,0.589,0.335,3.66399141254042e-107,"0","Maml2"
1.63435441625306e-107,8.77572090120573,0.5,0.278,4.90306324875918e-104,"0","Peli2"
2.52459613553496e-104,0.607848479938522,0.278,0.168,7.57378840660489e-101,"0","Mad1l1"
5.23266621362512e-102,11.4654557675847,0.585,0.347,1.56979986408754e-98,"0","E230029C05Rik"
5.74908147438362e-101,8.22050462715579,0.454,0.262,1.72472444231509e-97,"0","Nos1ap"
1.9789263676055e-99,7.44966676176732,0.665,0.431,5.93677910281651e-96,"0","Tanc2"
2.34997730819329e-98,4.48001434965072,0.373,0.197,7.04993192457988e-95,"0","Rai1"
2.83224635050411e-98,4.79797348301056,0.391,0.215,8.49673905151232e-95,"0","Rras2"
1.01449166589415e-97,6.03556439011802,0.351,0.176,3.04347499768246e-94,"0","Lrguk"
1.97052837510532e-97,3.43057697455234,0.571,0.321,5.91158512531595e-94,"0","Btbd9"
2.26680664502675e-97,7.15324753115606,0.576,0.342,6.80041993508026e-94,"0","0610040J01Rik"
2.3199225249416e-96,3.97376776110702,0.53,0.306,6.95976757482479e-93,"0","Lhfpl2"
2.82107215758635e-94,1.63699529998853,0.519,0.296,8.46321647275905e-91,"0","Trio"
4.17711848352083e-94,10.8159371605451,0.604,0.363,1.25313554505625e-90,"0","Ikzf1"
4.37262027057363e-94,4.51045660380135,0.56,0.322,1.31178608117209e-90,"0","Nfia"
1.30966257048571e-90,9.41188814674065,0.449,0.252,3.92898771145714e-87,"0","Zdhhc14"
7.13720868439844e-90,9.01108253806032,0.568,0.329,2.14116260531953e-86,"0","Prkcb"
8.57964833240632e-90,11.5309542180654,0.605,0.404,2.5738944997219e-86,"0","Pde3b"
1.37383279207742e-89,1.2061596347461,0.41,0.217,4.12149837623227e-86,"0","Nfatc2"
7.89188815023947e-89,7.96464670561902,0.622,0.399,2.36756644507184e-85,"0","Srgap2"
2.4814331040358e-88,2.89711038133552,0.429,0.248,7.44429931210739e-85,"0","Ppard"
8.74764204681612e-88,7.57970725926636,0.503,0.287,2.62429261404483e-84,"0","Atxn7l1"
1.78295991213298e-87,2.80759351203665,0.552,0.333,5.34887973639894e-84,"0","Hdac9"
7.87325409564076e-87,7.40964039894406,0.419,0.249,2.36197622869223e-83,"0","Gab1"
1.82344989293433e-84,5.46057767756603,0.583,0.362,5.470349678803e-81,"0","Inpp4b"
1.31086545631675e-83,2.74237215097669,0.579,0.346,3.93259636895024e-80,"0","Large1"
7.48878686365068e-83,0.965540812290477,0.38,0.216,2.24663605909521e-79,"0","Ahdc1"
8.6867829708267e-81,10.6915518071916,0.524,0.305,2.60603489124801e-77,"0","Smyd3"
1.92773011248177e-80,7.2237029372611,0.433,0.253,5.78319033744532e-77,"0","Smurf1"
3.66495284423743e-80,7.32644284260569,0.333,0.212,1.09948585327123e-76,"0","Zfp532"
5.11052881187905e-79,5.90546218451399,0.311,0.186,1.53315864356371e-75,"0","Tspan18"
5.32698261749007e-78,4.38459742151975,0.297,0.177,1.59809478524702e-74,"0","Dagla"
5.8593522317544e-78,4.52229510912725,0.536,0.342,1.75780566952632e-74,"0","P3h2"
8.90803156043018e-74,8.67272959432238,0.557,0.347,2.67240946812905e-70,"0","Foxp1"
3.51043908004225e-73,6.36297455455372,0.473,0.291,1.05313172401268e-69,"0","Whrn"
4.55325537649875e-72,7.70760759176169,0.349,0.227,1.36597661294962e-68,"0","Nckap5l"
2.19028168876492e-71,6.87007134079357,0.481,0.316,6.57084506629476e-68,"0","Rcsd1"
2.75277122242034e-71,7.21883548283106,0.403,0.248,8.25831366726102e-68,"0","Rffl"
6.76486449401915e-71,11.6029891992057,0.584,0.381,2.02945934820575e-67,"0","Gab2"
1.45835715379856e-70,9.67253568223153,0.528,0.326,4.37507146139569e-67,"0","Bach2"
6.32374052330197e-70,1.74069419252038,0.535,0.33,1.89712215699059e-66,"0","Hivep3"
6.55330311997784e-70,4.33216283051043,0.444,0.295,1.96599093599335e-66,"0","Slc1a3"
1.4456592031993e-69,9.13464780641572,0.276,0.199,4.33697760959789e-66,"0","Neurl1a"
3.91084714614782e-69,6.93178445612085,0.539,0.336,1.17325414384435e-65,"0","Tbc1d9"
1.60619199469684e-68,6.11765362671847,0.282,0.178,4.81857598409053e-65,"0","Shb"
3.01651110503388e-68,2.04231870130963,0.399,0.26,9.04953331510163e-65,"0","Igf1r"
2.2199622785092e-67,3.60685271232394,0.502,0.319,6.65988683552761e-64,"0","Apba1"
2.59997845751817e-67,1.73486926212045,0.533,0.326,7.79993537255452e-64,"0","Mgat5"
1.84568449095531e-66,8.78015762811463,0.451,0.275,5.53705347286593e-63,"0","Bicra"
1.87911437258196e-66,3.45622021511218,0.557,0.357,5.63734311774589e-63,"0","Tbxas1"
3.25114260337853e-66,9.11301247751943,0.465,0.281,9.7534278101356e-63,"0","Bcas3"
4.08416991171621e-66,3.19578470725426,0.261,0.147,1.22525097351486e-62,"0","Wdr25"
1.07968773858719e-65,1.16329976038677,0.407,0.26,3.23906321576158e-62,"0","Cradd"
3.83460307247457e-65,10.191714526491,0.566,0.367,1.15038092174237e-61,"0","Ophn1"
8.48887988165038e-65,4.85383240913365,0.411,0.265,2.54666396449512e-61,"0","Plxdc1"
8.17933702232652e-64,4.69736140673274,0.575,0.394,2.45380110669796e-60,"0","Mertk"
4.95507640732142e-62,6.3408360972462,0.5,0.333,1.48652292219643e-58,"0","Ints6l"
1.55396195112983e-61,9.2818627218328,0.384,0.263,4.66188585338949e-58,"0","Rps6kc1"
5.96104539633335e-61,1.44727673261106,0.261,0.193,1.78831361890001e-57,"0","Lyzl4"
8.85457161351437e-61,2.08431430356646,0.282,0.18,2.65637148405431e-57,"0","Zfp827"
1.37320771235819e-60,7.86125982013041,0.396,0.258,4.11962313707458e-57,"0","Dym"
1.53179017887553e-60,2.38072201179831,0.273,0.223,4.5953705366266e-57,"0","Uhrf1bp1"
4.906383856258e-60,0.959216653019018,0.342,0.198,1.4719151568774e-56,"0","Sdk1"
9.33753668013748e-60,5.42327580246238,0.269,0.203,2.80126100404124e-56,"0","Gm49797"
3.95277825031929e-59,9.82202992599117,0.274,0.209,1.18583347509579e-55,"0","Clec16a"
4.11629742499325e-59,12.0271102991209,0.599,0.421,1.23488922749797e-55,"0","Tgfbr1"
1.28387484618906e-58,4.17939085764576,0.392,0.245,3.85162453856717e-55,"0","Nr3c2"
7.2060129875099e-58,2.4052572510502,0.371,0.231,2.16180389625297e-54,"0","Nol4l"
7.40411213079608e-58,0.998544152425588,0.396,0.254,2.22123363923882e-54,"0","Prkce"
1.39203032097501e-57,7.59156738356008,0.32,0.245,4.17609096292502e-54,"0","Kcnip3"
2.30055463997372e-57,3.10349455156962,0.447,0.297,6.90166391992117e-54,"0","Sipa1l1"
1.6002954174728e-56,8.68180721800024,0.316,0.191,4.80088625241839e-53,"0","Inpp4a"
3.62054549883563e-56,8.39637170960365,0.506,0.335,1.08616364965069e-52,"0","Klf12"
4.63455881120333e-56,1.39945521862919,0.386,0.286,1.390367643361e-52,"0","Tln2"
2.21099710615889e-55,1.97805771782975,0.536,0.358,6.63299131847668e-52,"0","Zbtb20"
3.87723782586216e-55,4.70968545152041,0.407,0.266,1.16317134775865e-51,"0","Dock1"
3.1481543637996e-54,10.4622896722818,0.553,0.356,9.4444630913988e-51,"0","Fbxl17"
1.04511615348847e-53,0.869719487109154,0.551,0.371,3.1353484604654e-50,"0","Zeb2"
3.58213471173107e-53,6.92368272441787,0.369,0.241,1.07464041351932e-49,"0","Foxo3"
7.91780149022778e-53,7.29292001556148,0.484,0.331,2.37534044706833e-49,"0","Ppp1r9a"
2.41024552314346e-52,3.68474552042821,0.347,0.264,7.23073656943039e-49,"0","Tgfa"
7.75067517875794e-51,10.3148944659097,0.403,0.269,2.32520255362738e-47,"0","St6gal1"
3.61490598571168e-50,1.25113332092044,0.258,0.214,1.0844717957135e-46,"0","Sipa1l3"
5.59569283143734e-50,3.88347513767614,0.383,0.284,1.6787078494312e-46,"0","Trappc9"
1.53123337973091e-49,1.72479669482271,0.439,0.305,4.59370013919272e-46,"0","Itga9"
1.6936999142748e-49,3.60741912254626,0.493,0.32,5.08109974282441e-46,"0","Vti1a"
1.89717394425173e-48,2.27232365236953,0.407,0.287,5.69152183275518e-45,"0","Nedd4l"
2.40590109827436e-48,1.88537039888269,0.406,0.296,7.2177032948231e-45,"0","Disc1"
3.77486519065986e-48,5.04875511317599,0.45,0.308,1.13245955719796e-44,"0","Fars2"
4.62624263023626e-48,3.30161668538939,0.32,0.229,1.38787278907088e-44,"0","Hpcal1"
6.16831102777585e-48,1.24141736746284,0.286,0.215,1.85049330833276e-44,"0","Asap3"
1.53607049375076e-47,4.3529632222987,0.387,0.292,4.60821148125228e-44,"0","Eef2k"
1.60390876507171e-47,3.41949330330299,0.34,0.242,4.81172629521514e-44,"0","Ralgps1"
1.69660911359375e-47,1.3840160725235,0.551,0.412,5.08982734078125e-44,"0","Nav3"
4.37813024392108e-47,2.5107230763191,0.416,0.299,1.31343907317632e-43,"0","St3gal3"
5.18808284438347e-47,8.47137343099867,0.539,0.387,1.55642485331504e-43,"0","Agmo"
6.24905731143165e-47,4.9835787129272,0.261,0.17,1.87471719342949e-43,"0","D7Ertd443e"
1.2319192343559e-46,2.65473716849684,0.561,0.39,3.69575770306771e-43,"0","Dleu2"
2.63394178588363e-46,2.72400531604021,0.497,0.336,7.9018253576509e-43,"0","Phf21a"
3.54655605217362e-46,7.0646694915026,0.464,0.335,1.06396681565209e-42,"0","Tmem164"
1.43494008658451e-45,9.0517351789607,0.283,0.232,4.30482025975352e-42,"0","Padi2"
2.15210156925354e-45,3.65776004979884,0.389,0.272,6.45630470776062e-42,"0","Garnl3"
4.58124446427662e-45,9.53832472401077,0.377,0.276,1.37437333928299e-41,"0","Mrtfa"
8.02984882375029e-45,1.71006655168965,0.266,0.218,2.40895464712509e-41,"0","Slc9a1"
1.11346693006889e-44,2.64595355688489,0.256,0.203,3.34040079020667e-41,"0","Sergef"
2.34714904192857e-44,1.86892621736254,0.232,0.253,7.0414471257857e-41,"0","Naalad2"
2.55032101107003e-44,7.32042154654289,0.319,0.251,7.65096303321009e-41,"0","Dock9"
7.05744809913011e-44,7.70372167657772,0.263,0.211,2.11723442973903e-40,"0","Cdyl2"
7.69693015671054e-44,6.63753921032375,0.306,0.242,2.30907904701316e-40,"0","Tom1l2"
8.97712914379157e-44,9.75497641064031,0.494,0.353,2.69313874313747e-40,"0","Pld1"
1.39906195477644e-43,9.72230347135949,0.495,0.344,4.19718586432931e-40,"0","Parp8"
1.86698087138371e-43,5.60749490718086,0.477,0.314,5.60094261415114e-40,"0","Pitpnc1"
2.526010315756e-43,4.35886836469162,0.29,0.229,7.57803094726799e-40,"0","Galnt10"
4.3890604499429e-43,1.65862460530723,0.465,0.33,1.31671813498287e-39,"0","Cdkal1"
4.73248825904101e-43,5.03121689970184,0.358,0.261,1.4197464777123e-39,"0","Prkch"
1.49930436895618e-42,2.65635429602137,0.481,0.329,4.49791310686855e-39,"0","Ank2"
3.30582515633075e-42,3.4069090091425,0.436,0.302,9.91747546899224e-39,"0","Wwox"
3.67437328007316e-42,0.717870163932673,0.281,0.212,1.10231198402195e-38,"0","Ust"
4.97027930029815e-42,4.84664158757869,0.311,0.219,1.49108379008944e-38,"0","Mrc2"
5.76782569109414e-42,1.4560757456354,0.313,0.21,1.73034770732824e-38,"0","Ank"
6.68831773509226e-42,1.10624431732007,0.4,0.288,2.00649532052768e-38,"0","Prkca"
1.58957699368548e-41,2.88537776047655,0.388,0.297,4.76873098105644e-38,"0","Dis3l2"
